ID_Num,Raw_Score,IRT_Score
1484,34,-1.44111
1196,35,-1.39486
5803,42,-1.08969
7551,43,-1.04828
4546,45,-0.96679
8135,47,-0.88688
5333,47,-0.88688
7525,49,-0.80835
4936,49,-0.80835
3379,50,-0.76954
3703,51,-0.73102
5257,53,-0.65474
6761,53,-0.65474
7008,54,-0.61694
9334,54,-0.61694
9012,54,-0.61694
4694,55,-0.57936
6437,55,-0.57936
7970,55,-0.57936
6106,56,-0.54195
6008,56,-0.54195
1255,56,-0.54195
3114,57,-0.50472
6213,57,-0.50472
4644,59,-0.4307
9871,59,-0.4307
2594,59,-0.4307
7469,59,-0.4307
8094,60,-0.39389
8526,60,-0.39389
9298,60,-0.39389
3733,60,-0.39389
4606,61,-0.35718
6894,61,-0.35718
1554,61,-0.35718
8847,61,-0.35718
6549,61,-0.35718
8648,62,-0.32057
8553,62,-0.32057
3266,62,-0.32057
6386,62,-0.32057
9618,62,-0.32057
5259,63,-0.28403
6026,63,-0.28403
2792,63,-0.28403
2635,63,-0.28403
5411,63,-0.28403
5649,64,-0.24756
8774,64,-0.24756
9746,64,-0.24756
5597,65,-0.21114
3188,65,-0.21114
2248,65,-0.21114
5745,65,-0.21114
2947,65,-0.21114
5509,66,-0.17475
4376,66,-0.17475
7857,66,-0.17475
8678,66,-0.17475
5348,66,-0.17475
3571,66,-0.17475
1644,66,-0.17475
7657,66,-0.17475
4600,67,-0.13838
8398,67,-0.13838
2552,67,-0.13838
7550,67,-0.13838
4664,67,-0.13838
8901,68,-0.10202
9349,68,-0.10202
9738,68,-0.10202
8594,69,-0.06565
1060,69,-0.06565
4058,69,-0.06565
7590,69,-0.06565
2010,69,-0.06565
5897,69,-0.06565
9056,69,-0.06565
1972,70,-0.02926
4369,70,-0.02926
8821,70,-0.02926
5370,70,-0.02926
9213,70,-0.02926
1194,70,-0.02926
9768,71,0.00718
4021,71,0.00718
6219,71,0.00718
9946,71,0.00718
8335,71,0.00718
7554,71,0.00718
4483,71,0.00718
7942,71,0.00718
3072,71,0.00718
4005,71,0.00718
9111,71,0.00718
5460,72,0.04366
8794,72,0.04366
2813,72,0.04366
5687,72,0.04366
4930,72,0.04366
9143,72,0.04366
7640,72,0.04366
4042,72,0.04366
9134,72,0.04366
7943,73,0.0802
1224,73,0.0802
2381,73,0.0802
3142,73,0.0802
3885,73,0.0802
6901,73,0.0802
2142,73,0.0802
8869,73,0.0802
2935,73,0.0802
8528,73,0.0802
5097,74,0.11683
8437,74,0.11683
7827,74,0.11683
5104,74,0.11683
7695,74,0.11683
4029,74,0.11683
6098,74,0.11683
2480,74,0.11683
4958,74,0.11683
9610,74,0.11683
5567,74,0.11683
7656,74,0.11683
6502,74,0.11683
9627,74,0.11683
4222,75,0.15356
3060,75,0.15356
4380,75,0.15356
9196,75,0.15356
8466,75,0.15356
8290,75,0.15356
6933,75,0.15356
3453,75,0.15356
5265,76,0.1904
7017,76,0.1904
2501,76,0.1904
9900,76,0.1904
7122,76,0.1904
1499,76,0.1904
9932,76,0.1904
4752,76,0.1904
1803,77,0.22736
5670,77,0.22736
2515,77,0.22736
2638,77,0.22736
5909,77,0.22736
3706,77,0.22736
2921,77,0.22736
1369,77,0.22736
4421,77,0.22736
3515,77,0.22736
6786,77,0.22736
9806,77,0.22736
4715,77,0.22736
4747,77,0.22736
8527,77,0.22736
2255,77,0.22736
3897,77,0.22736
5576,78,0.26448
9625,78,0.26448
6860,78,0.26448
5064,78,0.26448
4960,78,0.26448
2683,78,0.26448
2053,78,0.26448
3804,78,0.26448
7150,78,0.26448
9177,78,0.26448
8337,78,0.26448
5812,78,0.26448
7533,78,0.26448
2989,78,0.26448
4518,78,0.26448
8589,79,0.30175
4567,79,0.30175
6695,79,0.30175
2024,79,0.30175
6300,79,0.30175
5839,79,0.30175
2782,79,0.30175
6641,79,0.30175
3817,79,0.30175
2184,80,0.3392
1740,80,0.3392
3951,80,0.3392
8798,80,0.3392
6351,80,0.3392
4865,80,0.3392
4516,80,0.3392
2282,80,0.3392
9865,80,0.3392
3612,80,0.3392
3898,80,0.3392
4597,80,0.3392
4614,80,0.3392
6414,80,0.3392
1823,81,0.37685
6016,81,0.37685
2664,81,0.37685
1580,81,0.37685
7729,81,0.37685
9664,81,0.37685
4883,81,0.37685
9031,81,0.37685
3334,81,0.37685
2062,81,0.37685
1132,81,0.37685
2416,81,0.37685
4541,81,0.37685
5317,81,0.37685
6898,81,0.37685
8309,81,0.37685
4032,82,0.41471
8045,82,0.41471
5585,82,0.41471
1324,82,0.41471
6905,82,0.41471
2655,82,0.41471
2633,82,0.41471
9493,82,0.41471
7676,82,0.41471
6475,82,0.41471
1910,82,0.41471
5878,82,0.41471
5405,82,0.41471
1103,82,0.41471
2057,82,0.41471
3506,82,0.41471
4289,82,0.41471
8106,82,0.41471
1805,83,0.45281
4920,83,0.45281
8295,83,0.45281
2224,83,0.45281
8447,83,0.45281
3305,83,0.45281
4997,83,0.45281
6589,83,0.45281
8851,83,0.45281
1195,83,0.45281
9895,83,0.45281
9893,83,0.45281
1085,83,0.45281
2751,83,0.45281
4442,83,0.45281
1479,83,0.45281
9053,83,0.45281
9556,84,0.49116
3023,84,0.49116
2706,84,0.49116
5127,84,0.49116
8238,84,0.49116
5503,84,0.49116
2350,84,0.49116
9020,84,0.49116
